City,MAE,RMSE,MAPE, Average elevation(m), precipitation each year(mm),city population(/km2),data availability
Augsburg,2.8,4.2,0.055,499,757,2006,0.4094
Cagliari,3,4.5,0.058,76,880,337.7,0.3561
Darmstadt,2.7,4,0.053,151,662,1325,0.8998
Essen,3.1,4.6,0.06,86,666,2715,0.049
Hamburg,3.4,5,0.064,23,758,2396,0.6866
Innsbruck,2.6,3.9,0.052,1280,873,2161,0.0832
London,3.5,5.1,0.063,66,692,5597,1
Lucerne,2.5,3.8,0.05,630,1055,289.8,0.6844
Madrid,3.3,4.9,0.062,671,484,856,0.7761
Manchester,3.2,4.7,0.061,66,862,5015,0.4136
Marseille,3.1,4.6,0.059,94,459,1596,0.1215
Paris,3.4,5,0.063,62,645,1104,0.2623
Strasbourg,2.9,4.3,0.056,144,710,1524,0.2026
Taibei,3.1,4.8,0.0623,53,1493,9546,0.3113
Turin,3.2,4.7,0.06,289,704,6512,0.2623
Toronto,3.3,4.8,0.062,116,817,4937,0.2047
